2026-01-16 22:26:59 - INFO - Fresh start requested, clearing existing data...
2026-01-16 22:27:00 - INFO - Starting HOSE statistics generation: total_compounds=928443, max_radius=6, chunk_size=10000
2026-01-17 02:08:19 - INFO - Chunk 53: processed=10000, failed=0, shifts=1190910, upserted=244656, progress=57.1%
2026-01-17 02:12:39 - INFO - Chunk 54: processed=10000, failed=0, shifts=1198734, upserted=245373, progress=58.2%
2026-01-17 02:17:05 - INFO - Chunk 55: processed=10000, failed=0, shifts=1214538, upserted=242186, progress=59.2%
2026-01-17 02:21:29 - INFO - Chunk 56: processed=10000, failed=0, shifts=1210236, upserted=243060, progress=60.3%
2026-01-17 02:25:53 - INFO - Chunk 57: processed=10000, failed=0, shifts=1210992, upserted=241503, progress=61.4%
2026-01-17 02:30:13 - INFO - Chunk 58: processed=10000, failed=0, shifts=1188342, upserted=241618, progress=62.5%
2026-01-17 02:34:31 - INFO - Chunk 59: processed=10000, failed=0, shifts=1193844, upserted=241270, progress=63.5%
2026-01-17 02:38:54 - INFO - Chunk 60: processed=10000, failed=0, shifts=1209678, upserted=245937, progress=64.6%
2026-01-17 02:43:12 - INFO - Chunk 61: processed=10000, failed=0, shifts=1194996, upserted=242761, progress=65.7%
2026-01-17 02:47:35 - INFO - Chunk 62: processed=10000, failed=0, shifts=1216500, upserted=243753, progress=66.8%
2026-01-17 02:52:02 - INFO - Chunk 63: processed=10000, failed=0, shifts=1216530, upserted=249327, progress=67.9%
2026-01-17 02:56:24 - INFO - Chunk 64: processed=10000, failed=0, shifts=1205052, upserted=243481, progress=68.9%
2026-01-17 03:00:42 - INFO - Chunk 65: processed=10000, failed=0, shifts=1193670, upserted=238285, progress=70.0%
2026-01-17 03:04:59 - INFO - Chunk 66: processed=10000, failed=0, shifts=1194822, upserted=245760, progress=71.1%
2026-01-17 03:09:18 - INFO - Chunk 67: processed=10000, failed=0, shifts=1194768, upserted=244145, progress=72.2%
2026-01-17 03:13:43 - INFO - Chunk 68: processed=10000, failed=0, shifts=1211610, upserted=249312, progress=73.2%
2026-01-17 03:18:02 - INFO - Chunk 69: processed=10000, failed=0, shifts=1198776, upserted=245192, progress=74.3%
2026-01-17 03:22:21 - INFO - Chunk 70: processed=10000, failed=0, shifts=1197714, upserted=249091, progress=75.4%
2026-01-17 03:26:48 - INFO - Chunk 71: processed=10000, failed=0, shifts=1216224, upserted=249264, progress=76.5%
2026-01-17 03:31:12 - INFO - Chunk 72: processed=10000, failed=0, shifts=1204332, upserted=248859, progress=77.5%
2026-01-17 03:35:34 - INFO - Chunk 73: processed=10000, failed=0, shifts=1208028, upserted=245298, progress=78.6%
2026-01-17 03:39:59 - INFO - Chunk 74: processed=10000, failed=0, shifts=1212750, upserted=246312, progress=79.7%
2026-01-17 03:44:22 - INFO - Chunk 75: processed=10000, failed=0, shifts=1208646, upserted=244617, progress=80.8%
2026-01-17 03:48:45 - INFO - Chunk 76: processed=10000, failed=0, shifts=1200348, upserted=243087, progress=81.9%
2026-01-17 03:53:03 - INFO - Chunk 77: processed=10000, failed=0, shifts=1187634, upserted=247067, progress=82.9%
2026-01-17 03:57:24 - INFO - Chunk 78: processed=10000, failed=0, shifts=1181562, upserted=240363, progress=84.0%
2026-01-17 04:01:54 - INFO - Chunk 79: processed=10000, failed=0, shifts=1221852, upserted=248195, progress=85.1%
2026-01-17 04:06:15 - INFO - Chunk 80: processed=10000, failed=0, shifts=1190598, upserted=241152, progress=86.2%
2026-01-17 04:10:35 - INFO - Chunk 81: processed=10000, failed=0, shifts=1197564, upserted=247796, progress=87.2%
2026-01-17 04:14:58 - INFO - Chunk 82: processed=10000, failed=0, shifts=1199640, upserted=241501, progress=88.3%
2026-01-17 04:19:24 - INFO - Chunk 83: processed=10000, failed=0, shifts=1212552, upserted=244828, progress=89.4%
2026-01-17 04:23:47 - INFO - Chunk 84: processed=10000, failed=0, shifts=1204068, upserted=245139, progress=90.5%
2026-01-17 04:28:13 - INFO - Chunk 85: processed=10000, failed=0, shifts=1208808, upserted=242759, progress=91.6%
2026-01-17 04:32:36 - INFO - Chunk 86: processed=10000, failed=0, shifts=1202568, upserted=246060, progress=92.6%
2026-01-17 04:36:58 - INFO - Chunk 87: processed=10000, failed=0, shifts=1192818, upserted=244139, progress=93.7%
2026-01-17 04:41:21 - INFO - Chunk 88: processed=10000, failed=0, shifts=1203192, upserted=245593, progress=94.8%
2026-01-17 04:45:46 - INFO - Chunk 89: processed=10000, failed=0, shifts=1212810, upserted=241665, progress=95.9%
2026-01-17 04:48:01 - INFO - Chunk 90: processed=5099, failed=0, shifts=610818, upserted=137610, progress=96.4%
2026-01-17 04:48:08 - INFO - Generation complete: compounds=895099, failed=0, shifts=107626764, total_stats=6640398
